scorer,DLC_resnet101_0degreeFeb13shuffle1_50000,DLC_resnet101_0degreeFeb13shuffle1_50000,DLC_resnet101_0degreeFeb13shuffle1_50000,DLC_resnet101_0degreeFeb13shuffle1_50000,DLC_resnet101_0degreeFeb13shuffle1_50000,DLC_resnet101_0degreeFeb13shuffle1_50000,DLC_resnet101_0degreeFeb13shuffle1_50000,DLC_resnet101_0degreeFeb13shuffle1_50000,DLC_resnet101_0degreeFeb13shuffle1_50000,DLC_resnet101_0degreeFeb13shuffle1_50000,DLC_resnet101_0degreeFeb13shuffle1_50000,DLC_resnet101_0degreeFeb13shuffle1_50000,DLC_resnet101_0degreeFeb13shuffle1_50000,DLC_resnet101_0degreeFeb13shuffle1_50000,DLC_resnet101_0degreeFeb13shuffle1_50000,DLC_resnet101_0degreeFeb13shuffle1_50000,DLC_resnet101_0degreeFeb13shuffle1_50000,DLC_resnet101_0degreeFeb13shuffle1_50000,DLC_resnet101_0degreeFeb13shuffle1_50000,DLC_resnet101_0degreeFeb13shuffle1_50000,DLC_resnet101_0degreeFeb13shuffle1_50000,DLC_resnet101_0degreeFeb13shuffle1_50000,DLC_resnet101_0degreeFeb13shuffle1_50000,DLC_resnet101_0degreeFeb13shuffle1_50000,DLC_resnet101_0degreeFeb13shuffle1_50000,DLC_resnet101_0degreeFeb13shuffle1_50000,DLC_resnet101_0degreeFeb13shuffle1_50000,DLC_resnet101_0degreeFeb13shuffle1_50000,DLC_resnet101_0degreeFeb13shuffle1_50000,DLC_resnet101_0degreeFeb13shuffle1_50000,DLC_resnet101_0degreeFeb13shuffle1_50000,DLC_resnet101_0degreeFeb13shuffle1_50000,DLC_resnet101_0degreeFeb13shuffle1_50000,DLC_resnet101_0degreeFeb13shuffle1_50000,DLC_resnet101_0degreeFeb13shuffle1_50000,DLC_resnet101_0degreeFeb13shuffle1_50000
bodyparts,antena1,antena1,antena1,antena2,antena2,antena2,forhead,forhead,forhead,neck,neck,neck,thorax,thorax,thorax,abdomen,abdomen,abdomen,l1,l1,l1,l2,l2,l2,l3,l3,l3,r1,r1,r1,r2,r2,r2,r3,r3,r3
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,411.1375427246094,121.52152252197266,0.9498231410980225,415.3040771484375,183.57838439941406,0.9989469647407532,437.5757751464844,147.17701721191406,0.9991809725761414,450.85205078125,148.80589294433594,0.9997168183326721,474.8660583496094,147.9697723388672,0.9994474053382874,499.5485534667969,147.28797912597656,0.9986698627471924,442.51409912109375,135.30572509765625,0.9053184390068054,460.2693176269531,112.03539276123047,0.9985948204994202,504.00323486328125,117.79878234863281,0.924272358417511,439.7792053222656,165.99017333984375,0.997922956943512,478.8094787597656,170.13525390625,0.9989608526229858,498.9971008300781,173.1959228515625,0.8346512317657471
1,411.1375427246094,121.52152252197266,0.9664272665977478,415.3040771484375,183.57838439941406,0.9986832737922668,437.5757751464844,147.17701721191406,0.9993535876274109,450.85205078125,148.80589294433594,0.9997640252113342,474.8660583496094,148.03602600097656,0.9995201826095581,499.5485534667969,147.42950439453125,0.9989593029022217,442.51409912109375,135.30572509765625,0.9474354982376099,460.4488525390625,112.03539276123047,0.998630166053772,504.00323486328125,117.79878234863281,0.9468404650688171,440.25311279296875,166.07879638671875,0.9985289573669434,478.8094787597656,170.13525390625,0.9987474679946899,498.9971008300781,173.1959228515625,0.8450011014938354
2,411.1375427246094,121.52152252197266,0.9725253582000732,415.3040771484375,183.57838439941406,0.997569739818573,437.5757751464844,147.17701721191406,0.9994776844978333,450.85205078125,148.80589294433594,0.9997690320014954,474.8660583496094,148.10304260253906,0.9993553757667542,499.5485534667969,147.60597229003906,0.9962462782859802,442.51409912109375,135.30572509765625,0.9722585678100586,460.4525146484375,112.03539276123047,0.9982317090034485,504.00323486328125,117.79878234863281,0.9345747828483582,440.344482421875,166.4939727783203,0.9987878203392029,478.8094787597656,170.13525390625,0.9982831478118896,498.9971008300781,173.1959228515625,0.465374231338501
3,410.3659973144531,120.96833038330078,0.9798490405082703,413.9477233886719,182.4185028076172,0.9956778883934021,436.7751159667969,146.80075073242188,0.9995600581169128,449.8894348144531,148.2090606689453,0.9997202754020691,474.3531799316406,148.10304260253906,0.9992844462394714,499.00531005859375,147.60597229003906,0.9945569038391113,438.69354248046875,134.17974853515625,0.9601438641548157,460.96044921875,111.76710510253906,0.9981549382209778,503.67327880859375,117.13750457763672,0.9522724747657776,440.38140869140625,166.4939727783203,0.9990975856781006,478.3501892089844,170.13525390625,0.9984898567199707,494.044921875,172.9345245361328,0.46823495626449585
4,409.1147766113281,120.73419189453125,0.9814745187759399,412.35296630859375,181.95648193359375,0.9969385862350464,436.0662536621094,146.2043914794922,0.9995973706245422,449.3739318847656,147.2737579345703,0.9997298121452332,473.8626708984375,148.10304260253906,0.9992007613182068,498.44476318359375,147.60597229003906,0.9905699491500854,433.1131591796875,132.18701171875,0.9390006065368652,461.41009521484375,111.76710510253906,0.9979385733604431,502.939453125,116.9042739868164,0.9600732922554016,441.3879699707031,166.4939727783203,0.9989847540855408,478.324951171875,170.13525390625,0.9976896047592163,493.7960205078125,172.66322326660156,0.4444572627544403
5,409.0087585449219,119.54642486572266,0.9860681295394897,410.3874206542969,180.66543579101562,0.9981088638305664,434.5793762207031,145.47296142578125,0.9993876218795776,448.3026123046875,146.49423217773438,0.9995900988578796,472.8323974609375,147.6541748046875,0.9990528225898743,497.583251953125,146.36495971679688,0.9951521158218384,429.00201416015625,128.79183959960938,0.965353786945343,462.22918701171875,111.76710510253906,0.9976531863212585,499.0157470703125,116.17518615722656,0.9853754043579102,441.3879699707031,164.9873809814453,0.9983857870101929,477.7935791015625,170.97232055664062,0.9962452054023743,493.7724304199219,172.5949249267578,0.7324212789535522
6,408.6866760253906,118.3235855102539,0.99442458152771,408.35028076171875,178.66989135742188,0.9982499480247498,433.6430358886719,144.960205078125,0.9990503191947937,448.01251220703125,145.80703735351562,0.9993897676467896,472.0716552734375,147.50408935546875,0.9986323714256287,496.65850830078125,146.1428985595703,0.9945118427276611,427.257568359375,128.3523406982422,0.9768873453140259,462.4285888671875,112.38168334960938,0.9974852800369263,492.33538818359375,114.90618896484375,0.9850077629089355,441.3879699707031,163.92388916015625,0.997694194316864,477.6898498535156,171.7647705078125,0.9935492873191833,493.45489501953125,172.66322326660156,0.6803690791130066
7,408.49066162109375,117.9459228515625,0.9956656098365784,408.21868896484375,177.7052001953125,0.9974810481071472,432.5154724121094,144.79071044921875,0.9980902075767517,447.0318908691406,145.549560546875,0.9987651109695435,471.5533142089844,146.06993103027344,0.9987701773643494,495.8023986816406,146.1428985595703,0.9908473491668701,425.05633544921875,128.3523406982422,0.9792693257331848,463.6373596191406,113.80474853515625,0.9976809024810791,491.9245910644531,114.62214660644531,0.9833160042762756,441.294677734375,162.8507537841797,0.9963257908821106,477.6898498535156,171.79275512695312,0.9931401610374451,492.7965087890625,172.66322326660156,0.5085006356239319
8,407.67840576171875,116.95687103271484,0.9974341988563538,407.1025085449219,177.11703491210938,0.9985322952270508,430.3047180175781,144.20913696289062,0.9971774816513062,446.109130859375,145.14358520507812,0.9987970590591431,470.24884033203125,145.6098175048828,0.9992305040359497,494.9306945800781,146.1428985595703,0.9934279322624207,420.342041015625,128.2347412109375,0.9727993011474609,466.115234375,113.80474853515625,0.9986734390258789,491.1820068359375,109.89867401123047,0.9872735738754272,441.294677734375,162.10214233398438,0.994721531867981,477.2212219238281,172.2992706298828,0.9923823475837708,492.2406921386719,172.66322326660156,0.5150437355041504
9,406.6379699707031,116.37748718261719,0.9982271790504456,406.4808349609375,177.11703491210938,0.9987075328826904,429.21966552734375,143.74488830566406,0.9974920749664307,444.9195251464844,145.14358520507812,0.9984201192855835,468.7304992675781,145.6098175048828,0.9990599751472473,494.1545104980469,146.19972229003906,0.9714488983154297,419.50347900390625,127.97283935546875,0.9688075184822083,466.115234375,113.41165161132812,0.9987418055534363,489.677734375,108.64852142333984,0.9814586043357849,441.0583801269531,162.10214233398438,0.9919370412826538,474.80084228515625,172.40478515625,0.9902955293655396,490.86773681640625,172.52345275878906,0.24151656031608582
10,405.3917236328125,115.03909301757812,0.9986686706542969,406.1695861816406,177.11703491210938,0.9985949397087097,428.4794921875,143.5972442626953,0.9971014857292175,443.8687438964844,145.14358520507812,0.9980505704879761,467.4828796386719,145.6098175048828,0.9985180497169495,493.0950927734375,146.8107147216797,0.8667951822280884,417.3478088378906,127.33134460449219,0.9746468663215637,466.5586242675781,113.41165161132812,0.9978710412979126,489.050048828125,108.64852142333984,0.9570697546005249,441.134521484375,162.10214233398438,0.9911468625068665,470.8011474609375,172.40478515625,0.9958857893943787,489.2737731933594,171.09791564941406,0.09626562148332596
11,405.08245849609375,114.35418701171875,0.9987168312072754,405.4663391113281,177.29544067382812,0.9988320469856262,427.5734558105469,143.5972442626953,0.9975513815879822,443.4177551269531,145.088623046875,0.9985835552215576,467.3695373535156,145.915283203125,0.999323844909668,492.215087890625,146.8107147216797,0.9369981288909912,416.0998229980469,126.96316528320312,0.9794791340827942,466.5586242675781,113.08060455322266,0.9982032775878906,487.55987548828125,108.64852142333984,0.9627594947814941,441.134521484375,162.5615234375,0.9948242902755737,466.6708984375,172.40478515625,0.9957548379898071,488.6673889160156,170.37396240234375,0.2558134198188782
12,404.5055847167969,113.91323852539062,0.9986039996147156,405.3215026855469,177.6769256591797,0.9990800619125366,426.54351806640625,143.5972442626953,0.9973899722099304,442.30963134765625,145.01243591308594,0.9981570839881897,466.4394226074219,146.0487060546875,0.9990153312683105,491.8590393066406,146.8107147216797,0.859494149684906,415.4415588378906,126.6856460571289,0.9802832007408142,466.3088684082031,112.83426666259766,0.999030590057373,485.0809326171875,109.38349151611328,0.9709677696228027,441.134521484375,163.12338256835938,0.9925135970115662,459.4554748535156,172.2992706298828,0.9834930896759033,488.546630859375,170.37217712402344,0.25275102257728577
13,404.2829284667969,113.91323852539062,0.9984931945800781,404.9820251464844,178.93231201171875,0.9994164705276489,425.63848876953125,144.23287963867188,0.9972979426383972,441.51239013671875,145.32351684570312,0.9985706806182861,465.8907165527344,146.8228759765625,0.9993255138397217,489.4871520996094,146.74472045898438,0.9129372835159302,414.9966735839844,126.6598129272461,0.9763813614845276,466.3088684082031,112.79873657226562,0.9990177154541016,482.7181701660156,109.41314697265625,0.9712241888046265,441.134521484375,163.12338256835938,0.995187520980835,451.22998046875,174.09754943847656,0.9877408146858215,488.546630859375,168.98704528808594,0.6127351522445679
14,403.4737854003906,113.91323852539062,0.9983269572257996,404.9358215332031,179.01734924316406,0.9994617104530334,424.75482177734375,144.546142578125,0.9964898228645325,440.20404052734375,145.2185516357422,0.9991126656532288,464.5032958984375,147.04019165039062,0.9985707998275757,488.4523620605469,146.6138153076172,0.9583487510681152,414.38421630859375,125.15178680419922,0.9840646386146545,466.66461181640625,112.31684875488281,0.9990043044090271,481.19744873046875,109.41461944580078,0.9674714207649231,441.2200012207031,163.12338256835938,0.9896239638328552,445.93133544921875,174.65411376953125,0.9847403168678284,488.546630859375,164.13919067382812,0.5067625045776367
